,Pips,Acc,Wons,Losts,Expired,Trades,Longs,Shorts,openHour,endHour,openCandles,lvlNumber,minDiff,candleMinutes,minMovement,tp,sl,waitingCandles
80,-0.01327000000000374,0.18072289156626506,0,6,77,83,64,19,8,15,5,2,0.1,"[0, 20, 40]",0.0003,0.0015,0.001,5
81,-0.0044900000000011675,0.18181818181818182,0,2,31,33,24,9,8,15,5,2,0.1,"[0, 20, 40]",0.0003,0.0015,0.0015,1
82,-0.016340000000003185,0.14705882352941177,0,2,66,68,51,17,8,15,5,2,0.1,"[0, 20, 40]",0.0003,0.0015,0.0015,3
83,-0.018360000000004085,0.14457831325301204,0,2,81,83,64,19,8,15,5,2,0.1,"[0, 20, 40]",0.0003,0.0015,0.0015,5
84,-0.003290000000001079,0.21212121212121213,0,3,30,33,24,9,8,15,5,2,0.1,"[0, 20, 40]",0.0003,0.002,0.001,1
85,-0.011150000000002942,0.19117647058823528,0,5,63,68,51,17,8,15,5,2,0.1,"[0, 20, 40]",0.0003,0.002,0.001,3
86,-0.01327000000000374,0.18072289156626506,0,6,77,83,64,19,8,15,5,2,0.1,"[0, 20, 40]",0.0003,0.002,0.001,5
87,-0.0044900000000011675,0.18181818181818182,0,2,31,33,24,9,8,15,5,2,0.1,"[0, 20, 40]",0.0003,0.002,0.0015,1
88,-0.016340000000003185,0.14705882352941177,0,2,66,68,51,17,8,15,5,2,0.1,"[0, 20, 40]",0.0003,0.002,0.0015,3
89,-0.018360000000004085,0.14457831325301204,0,2,81,83,64,19,8,15,5,2,0.1,"[0, 20, 40]",0.0003,0.002,0.0015,5
90,0.0007299999999996536,0.45454545454545453,1,1,9,11,9,2,8,15,5,2,0.1,"[0, 20, 40]",0.0005,0.001,0.001,1
91,0.0017699999999986477,0.42424242424242425,3,5,25,33,28,5,8,15,5,2,0.1,"[0, 20, 40]",0.0005,0.001,0.001,3
92,-0.000640000000002062,0.40816326530612246,4,5,40,49,44,5,8,15,5,2,0.1,"[0, 20, 40]",0.0005,0.001,0.001,5
